docId,filename,filename,work_id,title,rating,category,relationship,character,additional tags,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,0 jake wolf back,1 ashley love baby,2 eyes back face,3 time school good,4 eyes back face,5 back looked asked,6 aro caius marcus,7 eyes back body,8 back eyes head,9 time human knew
10,Addiction.txt,Addiction.txt,11506386,Addiction,Mature,"F/F, M/M, Multi",Rosalie Hale/Bella Swan,"Edward Cullen, Jacob Black","Implied/Referenced Suicide, Alcohol Abuse/Alcoholism, Past Child Abuse, Family, Family Feels, Anxiety Disorder, Depression, Alternate Universe - College/University, Platonic Relationships, somewhat canon friendly, like if you enjoy canon you'll probably enjoy this, Violence, Blood and Gore, mild horror themes at play, Serious Injuries",2017-07-15,Updated,2020-10-18,286509,38/?,300,605,129,16999,0.016705634087333936,5.353541656589206E-5,0.13289460154193494,0.34753543545921256,1.1596073562557328E-5,0.3075175249044649,0.014281249292476726,0.011796377502811093,1.1793766539871102E-5,0.16919225195509754
11,ADecision.txt,ADecision.txt,25536877,A Decision,Not Rated,F/M,Edward Cullen/Bella Swan,0,0,2020-07-26,Completed,2020-07-26,614,1/1,0,10,0,162,5.258382986256091E-4,5.066845648952339E-4,0.011537690596159193,0.0017632845044775723,5.217310074299441E-4,0.409394144742738,2.65635037136554E-4,0.0160591378724772,6.152179272642032E-4,0.5588106354487965
12,ADivineHell.txt,ADivineHell.txt,23904892,A Divine Hell,Mature,F/F,"Rosalie Hale/Bella Swan, Leah Clearwater/Emmett Cullen, Edward Cullen/Tanya","Bella Swan, Rosalie Hale, Emmett Cullen, Leah Clearwater, Edward Cullen, Tanya (Twilight), Alice Cullen, Jasper Hale, Carlisle Cullen, Esme Cullen, Jacob Black's Pack (Twilight), Sam Uley's Pack (Twilight)",0,2020-04-29,Updated,2020-08-14,4743,4/?,21,140,23,2773,6.239176053946637E-5,6.0119131916816105E-5,0.0025464556003340485,0.3552211410912705,0.10839058434460092,0.25934536154778354,3.151812576458268E-5,1.3922018893313076E-4,7.299683134108182E-5,0.27413021137751586
13,AdvancedPawn.txt,AdvancedPawn.txt,19006894,Advanced Pawn,Not Rated,"F/F, Gen, M/M","Jasper Hale/Marcus (Twilight), Alice Cullen/Bella Swan, Leah Clearwater/Rosalie Hale, Emmett Cullen/Paul Lahote, Edward Cullen/Garrett, Carlisle Cullen/Esme Cullen, Jasper Hale & Maria, Jasper Hale & The Cullens","Jasper Hale, Marcus (Twilight), Felix (Twilight), Demetri (Twilight), Jane (Twilight), Alec (Twilight), Aro (Twilight), Caius (Twilight), Maria (Twilight), Alice Cullen, Bella Swan, Rosalie Hale, Leah Clearwater, Emmett Cullen","Angst, Kidnapping, i guess, Betrayal, Slow Burn, Enemies to Friends, Enemies to Friends to Lovers, Emotional Manipulation, Fluff, Family Fluff, Post-Canon, Jasper Joins the Volturi, Extremely rare pair, Rare Pairings",2019-05-28,Updated,2020-07-29,4516,6/?,5,27,8,635,6.704982257589852E-5,6.460752339068448E-5,0.060312029120460256,0.010347994729523392,6.652610046083638E-5,0.24454198499194763,0.20249702551542173,0.05962316570564,0.02159015679422058,0.4008894596963589
14,AFallfromGrace.txt,AFallfromGrace.txt,26143882,A Fall from Grace,Teen And Up Audiences,Gen,0,"Carlisle Cullen, Carlisle Cullen's Father","Backstory, Alternate Universe, Historical, Religious Content, Vampires, Alternate Universe - Canon Divergence, London",2020-08-27,Completed,2020-08-27,5274,1/1,0,0,0,27,4.992830871321287E-5,0.1795504924562654,0.2861320949934348,0.0067633118187826495,4.9538321708979415E-5,2.3888589575640727E-4,0.026879909217243675,0.07831979665317543,5.8414898037352896E-5,0.42195762743688225
15,AFatefulEncounter.txt,AFatefulEncounter.txt,26637124,A Fateful Encounter,Not Rated,F/M,"Jasper Hale/Bella Swan, Edward Cullen/Bella Swan","Jasper Hale, Bella Swan, Edward Cullen","Humor, Attempt at Humor, Sexual Humor, Crack, Jasper wants to kill Bella, Bella has other plans",2020-09-24,Completed,2020-09-24,2172,1/1,12,10,0,599,0.011097613295841576,0.0013431664627045364,0.211234558755514,0.08330589731710009,0.005003015480123141,0.16514484624448988,6.524359919646241E-5,0.30740507660062144,1.5110593955371154E-4,0.2152494763048551
16,Affection.txt,Affection.txt,26076589,Affection,Explicit,F/M,Carlisle Cullen/Bella Swan,"Carlisle Cullen, Bella Swan, Edward Cullen","Light Spanking, Fingering, bella is 18, Foreplay, Mutual Masturbation, Running Away, Fluff and Smut, PWP, Domestic Fluff, No Beta",2020-08-24,Completed,2020-08-24,1953,1/1,1,12,4,1018,1.4606411953791277E-4,0.0676771601305418,0.010096339599228305,0.029433972759217428,1.4492322152088232E-4,0.13163680539352526,7.378646233867514E-5,0.7308218583113439,0.015332127780058479,0.014636962222687221
17,AfterDark.txt,AfterDark.txt,27059035,After Dark,Not Rated,F/M,Alice Cullen/Jasper Hale,"Alice Cullen, Jasper Hale","Alternate Universe - Canon Divergence, Vampire/Human, Jaliceweek",2020-10-17,Completed,2020-10-17,1975,1/1,13,13,0,59,0.0018204308740254632,0.03802601249048262,0.09600317817618965,5.849258913322701E-4,0.024863027268176033,0.2641941223293133,8.811783377646972E-5,0.06129112075095077,2.0408328522981294E-4,0.5129249811005235
18,AfterNightfall.txt,AfterNightfall.txt,24926413,After Nightfall,Explicit,F/M,"Edward Cullen/Bella Swan, Edward Cullen & Bella Swan","Edward Cullen, Bella Swan, Alice Cullen, Jasper Hale, Emmett Cullen, Rosalie Hale, Carlisle Cullen, Esme Cullen, Charlie Swan","Vampire Bites, Blood Drinking, Vampire Turning, Volturi, Romance, Vampires, Vampire Sex, Character Turned Into Vampire, Teasing, Alternate Universe - Canon Divergence, Love, Original Character(s), Angst, Alternate Universe, Alternate Canon, Established Relationship, Emotional Hurt/Comfort, Drama, Marriage, Action/Adventure, Sexual Content, Violence, Blood, Bondage, World Travel, Light BDSM, New Moon AU",2020-06-26,Updated,2020-10-18,109251,19/?,48,58,21,2173,3.0203768824543126E-6,2.9103592311666103E-6,2.3727742863541667E-4,0.028853102112659967,0.021150710875519233,0.16369547821368025,0.0033646393498838406,0.31183576909921445,3.533766958468098E-6,0.4708535584173347
19,AfterNightfallOuttakes.txt,AfterNightfallOuttakes.txt,26664508,After Nightfall: Outtakes,Explicit,F/M,Edward Cullen/Bella Swan,"Edward Cullen, Bella Swan, Emmett Cullen","Love, Fluff, Angst, Fluff and Angst, Blood, Alternate Universe, Alternate Universe - Canon Divergence, Slice of Life, Vampires",2020-09-26,Updated,2020-10-06,11809,2/?,2,16,1,207,2.7457859939208477E-5,5.446549112359572E-4,8.42699257184878E-5,0.028333821787826435,0.05884262646147736,0.1643998891160345,1.3870746318223243E-5,0.43171954313173566,3.212502345885223E-5,0.3160017410362554
20,AftertheSunsets.txt,AftertheSunsets.txt,27164981,After the Sunsets,Teen And Up Audiences,F/M,Alice Cullen/Jasper Hale,"Alice Cullen, Jasper Hale",0,2020-10-23,Updated,2020-10-23,2096,1/3,1,5,1,26,0.001565351105139263,0.1643261789821388,0.12642729110093556,0.15194638467190452,0.002979538581586551,0.10403885972307056,7.577071475362453E-5,0.0017500494268690128,0.003006205134358786,0.44388437055924324
21,AGardenOnMySkin.txt,AGardenOnMySkin.txt,27074398,A Garden On My Skin,General Audiences,F/M,"Alice Cullen/Jasper Hale, Light mentions of, Charlotte/Peter (Twilight)","Alice Cullen, Jasper Hale, Peter (Twilight), Charlotte (Twilight), Carlisle Cullen",0,2020-10-18,Completed,2020-10-18,1789,1/1,15,20,3,105,1.543615913712199E-4,0.18804898332877076,0.11408784683506994,0.001974209105780988,0.0030663379657136446,0.09250379072725369,7.797805364029948E-5,0.009083986761750566,1.805992803126357E-4,0.5908219063503362
22,AGoodBargain.txt,AGoodBargain.txt,25060474,A Good Bargain,Mature,F/M,0,"Bella Swan, Edward Cullen, Demetri (Twilight)","Angst with a Happy Ending, Angst and Hurt/Comfort, Non-Graphic Rape/Non-Con, Addiction, Withdrawal",2020-07-04,Updated,2020-10-23,113440,42/?,171,104,19,3805,2.7553387837080927E-6,2.654975182315688E-6,0.29919048713990987,0.03734524327734685,2.733816998860968E-6,0.18123320180760474,0.07488139961637699,0.03253215157991368,3.223678875909492E-6,0.3748061487690071
23,AHumanMoment.txt,AHumanMoment.txt,25587796,A Human Moment,Explicit,F/M,"Edward Cullen/Bella Swan, Carlisle Cullen/Bella Swan","Edward Cullen, Bella Swan, Carlisle Cullen","Explicit Sexual Content, retelling of breaking dawn, Pregnancy, Consensual Infidelity, literally just breaking dawn but with Carlisle as the baby daddy.",2020-07-29,Updated,2020-08-03,11332,7/?,36,114,27,2955,5.569100476666696E-4,2.7003434614554444E-5,0.0712211518389634,0.037909309758656265,2.7805325288393527E-5,0.4539181235397264,0.001071928505686697,0.29359416681298095,3.278765177308225E-5,0.14164081308464363
24,AHundredIndecisions.txt,AHundredIndecisions.txt,27109708,A Hundred Indecisions,General Audiences,F/M,Alice Cullen/Jasper Hale,"Alice Cullen, Jasper Hale, Esme Cullen",Canon Compliant,2020-10-19,Completed,2020-10-19,1182,1/1,4,11,1,79,0.010904643735335385,0.0029269945373771424,0.1256863392413476,9.437718444096257E-4,0.0029350479222884983,0.09695537519867779,1.4217720867028334E-4,0.03780920568823176,3.2928625894097124E-4,0.721367158364721
25,AlethiologyinVolterraVolturiKingsOC.txt,AlethiologyinVolterraVolturiKingsOC.txt,24727660,Alethiology in Volterra (Volturi Kings/OC),Mature,"F/M, Multi","The Volturi (Twilight) & Original Female Character(s), Aro (Twilight)/Caius (Twilight)/Marcus (Twilight)/Original Female Character(s), Carlisle Cullen/Esme Cullen, Alice Cullen/Jasper Hale, Emmett Cullen/Rosalie Hale, Amun/Kebi (Twilight), Sulpicia/Charlie Swan, Bella Swan/Youll Find Out","Aro (Twilight), Caius (Twilight), Marcus (Twilight), Original Volturi Character(s), The Volturi (Twilight), Bella Swan, Charlie Swan, Edward Cullen, Carlisle Cullen, Alice Cullen, Demetri (Twilight), Sulpicia (Twilight)","Bella Swan with a Backbone, Human/Vampire Relationship, Fluff and Angst, Eventual Romance, Eventual Relationships, Volturi, Hurt/Comfort, Polyamory, Enemies to Friends to Lovers, Alternate Universe - Canon Divergence, Vampire origin story wherein I theorize everything that has to do with the Volturi, Bella Swan Isn't A Doormat",2020-06-15,Updated,2020-09-29,66579,17/30,29,92,28,1860,3.856630625286201E-6,0.0033881761207255234,0.2716420427427,0.03443980473986117,0.0013867241282177695,0.07833412817887025,0.34325169470803424,8.60563702090134E-6,0.06274439372830903,0.20480057338563584
26,AliceandAngela.txt,AliceandAngela.txt,25853659,Alice and Angela,Not Rated,F/F,Alice Cullen/Angela Weber,"Alice Cullen, Angela Weber",0,2020-08-12,Updated,2020-08-11,581,1/?,0,3,0,32,4.6575160465924025E-4,0.1366918627997693,0.18162187712153297,0.269653011410362,0.10154568635795602,0.20879050832449947,2.352813500337184E-4,0.04498865170620235,0.004939855911298048,0.05106751341368697
27,AliceCullen.txt,AliceCullen.txt,18045728,Alice Cullen,Not Rated,F/M,Alice Cullen/Jasper Hale,"Alice Cullen, Jasper Hale","Memories, Memory, Forgetting, Trauma, Hurt/Comfort",2019-03-09,Updated,2020-08-03,7488,9/?,2,22,1,782,4.194463117627058E-5,0.19437775924139675,0.03258425433806206,0.1398577232569131,4.161700419515111E-5,0.13635556680146582,2.1188954264665776E-5,0.0016767909944080941,8.406723271550597E-4,0.49420248245096315
28,Aliceismyfavorite.txt,Aliceismyfavorite.txt,26541094,Alice is my favorite,Teen And Up Audiences,F/F,"Alice Cullen/Bella Swan, Edward Cullen/Jasper Hale, Emmett Cullen/Rosalie Hale","Alice Cullen, Bella Swan, Edward Cullen, Jasper Hale, Emmett Cullen, Rosalie Hale, Carlisle Cullen, Esme Cullen, Charlie Swan",Fluff,2020-09-19,Updated,2020-10-14,5774,4/?,10,33,9,639,6.551610354983541E-5,6.312967029511597E-5,0.001437522778009221,0.2586376754904954,0.06312393763848424,0.13137713216153296,3.3096434103393155E-5,7.644166446414654E-4,0.08044588092282969,0.4640516921560587
29,ALifetimeWithoutYou.txt,ALifetimeWithoutYou.txt,26448514,A Lifetime Without You,Not Rated,F/M,"Edward Cullen/Bella Swan, Alice Cullen/Jasper Hale, Emmett Cullen/Rosalie Hale, Carlisle Cullen/Esme Cullen, Carmen/Eleazar (Twilight), Irina/Laurent (Twilight), James/Victoria (Twilight)","Bella Swan, Edward Cullen, Alice Cullen, Jasper Hale, Emmett Cullen, Rosalie Hale, Carlisle Cullen, Esme Cullen, Carmen (Twilight), Eleazar (Twilight), Irina (Twilight), Laurent (Twilight), James (Twilight), Victoria (Twilight), The Volturi (Twilight), Jacob Black, Tanya (Twilight), Kate (Twilight)","Vampire Bella Swan, Forks Washington, Forks High School (Twilight), War, Bella's not weak, Slow Romance, but not too slow, Bella over a century old, Canon Relationships, Canon ages, Canon Backstories",2020-09-13,Updated,2020-09-18,4380,3/?,0,23,8,432,6.658640312181997E-5,6.416098405517488E-5,0.07874491116705543,0.11269335528259991,0.23003280619745115,0.20452402628342298,0.010086827927006742,0.050414534137361425,0.050343858536183034,0.2630289330817423
30,alittlebitlikeatrainwreckcanttakemyeyesoffyou.txt,alittlebitlikeatrainwreckcanttakemyeyesoffyou.txt,25044952,a little bit like a train wreck (can't take my eyes off you),Not Rated,F/F,"Rosalie Hale/Bella Swan, Jasper Hale & Bella Swan, Alice Cullen/Jasper Hale, Edward Cullen/ Bella Swan (but not for very long)",0,"Mutual Pining, shifter!Bella, how do you tag?????????, I feel like I should apologize, my brain wouldn't stop hitting me in the face with this, so here we go, this is self-indulgent AT BEST and I should be stopped, it's only gonna get worse from here, my hands have sinned against me",2020-07-03,Updated,2020-08-05,4956,2/?,80,321,77,2680,5.4247599813529104E-5,5.641642983747612E-4,0.12250883867040492,0.10051287183918564,5.3823875087349164E-5,0.0038428006065649957,2.7403981848981914E-5,0.14037964035792064,0.4208392472028899,0.21121696156790926
31,ALittleGame.txt,ALittleGame.txt,25845754,A Little Game,Explicit,F/M,Jasper Hale/Bella Swan,"Edward Cullen, Rosalie Hale, Mike Newton, Jasper Hale, Bella Swan",0,2020-08-26,Completed,2020-08-26,5911,1/1,1,55,11,851,4.818044807545367E-5,4.642546850120158E-5,0.13335787318469092,0.028803986801653615,0.08915756809050618,0.09570527023812644,2.433906991413585E-5,0.5220361268248042,0.09325790879740675,0.03756232107632126
32,ALittleHealthyCompetition.txt,ALittleHealthyCompetition.txt,25846495,"A Little """"Healthy"""" Competition",Mature,F/M,"Jasper Hale/Bella Swan, Emmett Cullen/Rosalie Hale, Carlisle Cullen/Esme Cullen","Edward Cullen, Jasper Hale, Bella Swan, Alice Cullen, Emmett Cullen, Rosalie Hale, Esme Cullen, Carlisle Cullen","bella shouldve been with jasper, all the twilight bs would have been avoided, pining? sure, edward is a whiny child",2020-08-11,Completed,2020-08-11,6600,1/1,7,184,36,1413,4.8356326477052237E-5,4.659494050737033E-5,0.15209673539193388,0.13979034457359746,0.01738742731493188,0.193703107977648,2.4427917504473535E-5,1.0790169807740684E-4,0.2683617292362487,0.2284333746230738
33,AllFunandGames.txt,AllFunandGames.txt,26190031,All Fun and Games,General Audiences,F/M,Aro/Bella Swan,"Bella Swan, Aro (Twilight)",0,2020-08-30,Completed,2020-08-30,716,1/1,7,29,2,298,3.3061825874091137E-4,0.012797731419621665,0.2474780191022268,0.013587812486452529,3.28035819487624E-4,0.2823628783913519,0.21543245733890984,0.2097636000396559,3.868152631520353E-4,0.017532031880400843
34,AllIEverWanted.txt,AllIEverWanted.txt,26339770,All I Ever Wanted,Explicit,F/M,"Jasper Hale/Bella Swan, Edward Cullen/Bella Swan","Bella Swan, Jasper Hale, Edward Cullen, Alice Cullen, Rosalie Hale, Emmett Cullen, Carlisle Cullen, Esme Cullen, Victoria (Twilight), Laurent (Twilight), Irina (Twilight)","Slow Burn, Slow Build, New Moon Rewrite, Alternate Universe - Canon Divergence, Explicit Sexual Content",2020-09-07,Updated,2020-09-22,13461,2/16,17,92,24,887,0.02321704599515027,2.1338143023234665E-5,0.18520924736957178,7.425767342049504E-5,2.1971797894609948E-5,3.149164540424911E-4,1.1186759587938178E-5,0.14799527002678067,2.5908837631823105E-5,0.6431088569428967
35,AllINeedIsYou.txt,AllINeedIsYou.txt,26108125,All I Need Is You,Explicit,F/M,"Jasper Hale/Bella Swan, Emmett Cullen/Rosalie Hale, Carlisle Cullen/Esme Cullen, Charlotte/Peter (Twilight)","Jasper Hale, Bella Swan, Rosalie Hale, Carlisle Cullen, Edward Cullen, Alice Cullen, Emmett Cullen, Esme Cullen, Peter (Twilight), Charlotte (Twilight), Charlie Swan","this whole thing is a wild ride, Canon Divergence, possible triggers, this whole thing kind of seems like a fever dream to be honest, Explicit Sexual Content, I'm Bad At Summaries, some typical vampire stuff, the major makes an appearance, you'll like this if you like our other stuff, Other tags to be added later probably",2020-09-25,Updated,2020-10-22,32270,4/?,9,25,8,714,9.707710601822685E-6,5.589790808185888E-4,0.11920680898245258,0.06168215405399049,9.63188426055172E-6,0.3414551608979971,4.903994389465532E-6,0.3243003968755105,0.028133835667812326,0.1246384208521666
36,AllTheDarkColors.txt,AllTheDarkColors.txt,26600422,All The Dark Colors,Mature,F/M,Edward Cullen/Bella Swan,"Edward Cullen, Bella Swan, Alice Cullen, Jasper Hale, Tanya (Twilight)",0,2020-09-22,Updated,2020-09-28,9650,3/?,2,4,1,52,3.265242065383563E-5,0.03484853249284459,0.10424330502909399,0.22811508029042324,3.2397374567958696E-5,0.43798857917337175,1.6494855919871923E-5,0.15413068958613652,9.625495085519949E-4,0.03962971926843634
37,allthesethingsthatIvedone.txt,allthesethingsthatIvedone.txt,26695321,all these things that I've done.,Teen And Up Audiences,F/M,Benjamin (Twilight)/Original Female Character(s),"Original Female Character(s), Benjamin (Twilight), Original Male Character(s), Aro (Twilight), Caius (Twilight), Marcus (Twilight), Jane (Twilight), Alec (Twilight)","Vampires, Age Difference, True Mates, Obsessive Behavior, Murder Kink, Murder Family, Implied/Referenced Underage Sex, Vampire Family, I Don't Even Know, Blood Drinking, Possessive Behavior",2020-09-28,Updated,2020-09-30,954,3/?,0,8,2,153,0.014241236428681504,0.0253869975233007,0.01764193603689353,9.91153318943882E-4,0.019817191458903132,0.004203343226857762,0.09776893100439182,0.006237810599977435,0.17885025833199084,0.6348611420700595
38,AllYourFire.txt,AllYourFire.txt,27130276,All Your Fire,Mature,F/M,Alice Cullen/Jasper Hale,"Alice Cullen, Jasper Hale","this is not fluff, Big time angst, JaliceWeek20, Angst and Tragedy, Heavy Angst, Angel/Demon Relationship, Alternate Universe - Angels & Demons, Character Death, Implied/Referenced Character Death, Implied/Referenced Suicide, i did say it had angst, good luck",2020-10-21,Completed,2020-10-21,4328,1/1,4,9,0,45,7.802099765718176E-4,7.20366380440091E-5,0.02915290085422819,2.5069065927422666E-4,7.417582918938577E-5,0.010233996825199236,3.776601133679582E-5,0.17864571945376875,0.017018271982628973,0.7637342317697586
39,AloneWithYou.txt,AloneWithYou.txt,26827246,Alone With You,Explicit,F/M,Jacob Black/Bella Swan,"Jacob Black, Bella Swan","a little thank-you one-shot for everyone who read New Moon!, what would have happened in Chapter 12 if Bella were more nort-bort, yes my boyfriend and i call 'naughty' nort bort, I APOLOGIZE, I'm not sorry, new moon, PWP, Smut, like really smutty",2020-10-05,Completed,2020-10-05,5019,1/1,18,64,7,877,0.07314134505623116,5.879403236294409E-4,0.27810917492687004,1.8957381592238118E-4,5.6092217513603596E-5,0.15817635995962473,2.8558889677068832E-5,0.47331029176212847,6.614316056153852E-5,0.01633451988784157
40,Alright.txt,Alright.txt,26718550,Alright?,General Audiences,F/M,Reader x Edward Cullen,Edward Cullen,"Anxious Edward, First Book, Hugs, I love all you bitches, thanks for reading, sfw, Fluffy, Cuddles",2020-09-29,Completed,2020-09-29,528,1/1,3,1,0,144,5.969237456236919E-4,5.751807145228802E-4,0.01309741322476426,0.10339039925709824,0.006224969274088169,0.5154324621255806,3.0154490791347996E-4,0.26043653906501824,6.983861587816022E-4,0.0992461815266089
