work_id,title,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits
26986657,Dark Paradise,Mature,F/M,Twilight Series - All Media Types,Alice Cullen/Jasper Hale,"Alice Cullen, Jasper Hale, Cynthia Brandon, Lilian Brandon, Edgar Brandon, Anna-Marie Brandon, Edward Cullen, Emmett Cullen","Human/Vampire AU, Alternate Universe - 1920s, Alice is not a vampire -- yet, Jasper on the other hand",English,2020-10-13,Updated,2020-10-27,7485,2/5,17,13,3,111
27222175,Kisses Can't Sustain You,Teen And Up Audiences,F/M,Twilight Series - Stephenie Meyer,"Leah Clearwater/Edward Cullen, Jacob Black/Bella Swan, Edward Cullen/Bella Swan, Emmett Cullen/Rosalie Hale","Edward Cullen, Leah Clearwater, Jacob Black, Bella Swan, Rosalie Hale, Emmett Cullen","Slow Romance, Friends to Lovers, Friendship, Enemies to Friends to Lovers, Werewolves, Worldbuilding, Vampires, Half-Vampires, Christian Character of Color, Angst and Hurt/Comfort, Emotional/Psychological Abuse, Emotional Manipulation, Substance Abuse, Slow Burn, Unrequited Love, Implied/Referenced Suicide",English,2020-10-27,Updated,2020-10-27,2021,1/?,null,null,null,16
27158216,Sweet Home Texas,Teen And Up Audiences,F/M,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)","Alice Cullen/Jasper Hale, Emmett Cullen/Rosalie Hale, Charlotte/Peter (Twilight)","Alice Cullen, Jasper Hale, Emmett Cullen, Rosalie Hale, Charlotte (Twilight), Peter (Twilight), Maria (Twilight), Riley Biers","alluded to abuse, Jasper gets called an idiot A LOT, Country girl Alice is thirsty AF, Jasper leans a lot because cowboys don't know how to stand up straight, yes I am STILL on the Riley thing",English,2020-10-23,Updated,2020-10-27,11177,6/10,2,2,null,40
20060578,Shadow of the Moon: A Sun Never Sets sequel,General Audiences,Gen,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)",,"Carlisle Cullen, Esme Cullen, Bella Swan, Edward Cullen, Jasper Hale, Rosalie Hale, Alice Cullen, Emmett Cullen, Original Cullen Character(s), Original Male Character(s), Jacob Black, Charlie Swan, Victoria (Twilight), Riley Biers, Bree Tanner, Mike Newton, Jessica Stanley, Angela Weber, Ben Cheney, The Wolfpack, Seth Clearwater, Emily Young (Twilight), Jane (Twilight), Alec (Twilight), Leah Clearwater, Sam Uley, Paul Lahote, Quil Ateara V, Quileute Tribe, Felix (Twilight), Demetri (Twilight), Eleazar (Twilight), Carmen (Twilight), Tanya (Twilight), Kate (Twilight), Irina (Twilight), The Volturi (Twilight)","Twilight References, Alternate Universe, High School, Teenagers, Teen Romance, Original Character(s), Original Character-centric, Minor Original Character(s), Vampires, Vampire Family, Human/Vampire Relationship, Friendship, Seattle, Forks Washington, Forks High School (Twilight), Family, Family Feels, Family Drama, Growing Up, POV Original Character, Immortality, Little Brothers, Brothers, Brotherly Love, Brother-Sister Relationships, Volturi, Canon Continuation",English,2019-08-01,Updated,2020-10-26,113084,27/30,19,53,8,2062
25968547,Would It Be Enough,Explicit,F/M,Twilight Series - All Media Types,,"Carlisle Cullen, Esme Cullen, Renesmee Cullen, Jacob Black, Edward Cullen, Bella Swan, Emmett Cullen, Rosalie Hale, Jasper Hale, Garrett (Twilight), Leah Clearwater, Seth Clearwater, Kate (Twilight), Eleazar (Twilight), Carmen (Twilight), Tanya (Twilight), Jane (Twilight), Alec (Twilight), Demetri (Twilight), Original Volturi Character(s), The Volturi (Twilight)","Original Character(s), POV Original Character, Canon Compliant, Post-Canon, Cross-Posted on FanFiction.Net, Love, Vampire Sex, eventual lemony content, Eventual Smut",English,2020-08-18,Updated,2020-10-26,73067,31/?,9,23,2,603
27187159,Immortal Beloved,Teen And Up Audiences,F/M,"Twilight Series - Stephenie Meyer, Twilight (Movies)",Edward Cullen/Bella Swan,"Edward Cullen, Bella Swan, Jacob Black, OC - Character","Role Reversal, Human Edward Cullen, Vampire Bella Swan",English,2020-10-25,Updated,2020-10-27,12287,5/25,null,2,1,44
26490472,Star-Crossed,Mature,,"Twilight Series - Stephenie Meyer, Twilight (Movies), Twilight Series - All Media Types, Twilight","Edward Cullen/Bella Swan, Paul Lahote/Bella Swan","Edward Cullen, Bella Swan, Jacob Black, Leah Clearwater, Seth Clearwater, Paul Lahote, Billy Black, Sam Uley, Emily Young (Twilight), Jessica Stanley, Angela Weber, Mike Newton, Eric Yorkie","thegardenstate, Imprinting (Twilight), Non-Human Bella Swan, Out of Character Bella Swan",English,2020-09-16,Updated,2020-10-26,18476,6/?,8,31,6,459
25477813,Sunrays on the Horizon,Mature,F/M,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types",Jacob Black/Leah Clearwater,"Jacob Black, Leah Clearwater, Jacob Black's Pack (Twilight), Seth Clearwater, Billy Black, Sue Clearwater, Sam Uley, Quil Ateara V, Embry Call","Blackwater, Alternate Universe - Canon Divergence, Slow Burn, this is an interpersonal conflict fic, minimal violence, very human focused, I mean as much as you can be with werewolves and vampires, POV Alternating",English,2020-07-24,Updated,2020-10-26,63414,11/?,26,59,13,974
26758294,Back alleys,Mature,,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)",,"Bella Swan, Jasper Hale","Angst, implied prostitution, Implied/Referenced Character Death",English,2020-10-01,Updated,2020-10-26,12737,5/?,9,16,5,198
27216526,What If?,Not Rated,"F/M, M/M",Twilight Series - All Media Types,"Seth Clearwater/Jasper Hale, Alice Cullen/Jasper Hale, Edward Cullen/Bella Swan, Emmett Cullen/Rosalie Hale, Carlisle Cullen/Esme Cullen, Jacob Black/Renesmee Cullen","Seth Clearwater, Jasper Hale, Alice Cullen, Edward Cullen, Bella Swan, Emmett Cullen, Rosalie Hale, Carlisle Cullen, Esme Cullen, Original Female Character(s), Leah Clearwater, Jacob Black, Renesmee Cullen",,English,2020-10-26,Completed,2020-10-26,424,1/1,null,2,null,14
26717155,Sing me to Sleep,Not Rated,F/F,Twilight Series - Stephenie Meyer,Rosalie Hale/Bella Swan,Twilight Series Characters,"Implied/Referenced Suicide, Philosophical conversation about superheroes, Alternate Universe, different bella, no beta we die like men!, mate bond, Humorous despite dark themes, where are you going with this?, Supernatural Elements",English,2020-09-29,Updated,2020-10-26,47257,9/?,140,338,65,5464
26399815,POPism,Mature,"F/M, Multi",Twilight Series - Stephenie Meyer,Edward Cullen/Bella Swan,"Bella Swan, Edward Cullen, Jasper Hale, Alice Cullen, Rosalie Hale, Emmett Cullen","Alternate Universe - Historical, 1960s, 1960s Music, Romance, Coming of Age, New York City",English,2020-09-11,Updated,2020-10-26,72758,12/15,9,3,3,144
27112588,Overprotective Fool,Teen And Up Audiences,F/M,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)","Alice Cullen/Jasper Hale, Carlisle Cullen/Esme Cullen, Emmett Cullen/Rosalie Hale, Edward Cullen/Bella Swan","Alice Cullen, Jasper Hale, Edward Cullen, Carlisle Cullen, Esme Cullen, Rosalie Hale, Emmett Cullen, Bella Swan","JaliceWeek20, Jaliceweek, Gap Filler, Twilight Renaissance, Book: Eclipse, Canon Compliant, Twilight Gap, Overprotective",English,2020-10-20,Updated,2020-10-26,5751,2/3,7,19,1,146
27214273,"Berry Cobbler, Every Thursday",Explicit,F/M,"Twilight Series - All Media Types, Twilight Series - Stephenie Meyer, Twilight (Movies)","Charlie Swan/Original Female Character(s), Charlie Swan/Reader, Charlie Swan/You","Charlie Swan, Reader, You, Original Female Character(s), Reader - Freeform - Character","Team Charlie, Age Difference, Dirty Talk, Oral Sex, Porn With Plot, Explicit Sexual Content, Older Man/Younger Woman, Semi-Public Sex, Office Sex",English,2020-10-26,Updated,2020-10-26,3404,1/2,2,2,null,89
24241990,One Step at a Time,Not Rated,"F/M, Multi","Twilight Series - Stephenie Meyer, Twilight Series - All Media Types","Aro (Twilight)/Original Female Character(s), Aro (Twilight)/Caius (Twilight)/Marcus (Twilight)/Original Female Character(s), Caius (Twilight)/Original Female Character(s), Marcus (Twilight)/Original Female Character(s)","Aro (Twilight), Caius (Twilight), Marcus (Twilight), Original Swan Character(s) (Twilight), Bella Swan, Original Female Character(s), Original Male Character(s), Original Female Human Character(s), Charlie Swan, Jasper Hale, the Cullens, The Volturi (Twilight), Volturi - Character, Original Volturi Character(s)","Slow Burn, Polyamory, Romance, Canon-Typical Violence, Original Character(s), Soulmates, Twilight Renaissance, Post-Traumatic Stress Disorder - PTSD",English,2020-06-02,Updated,2020-10-26,130993,37/?,213,586,141,14702
25131574,Turning Page,Teen And Up Audiences,F/M,"Twilight (Movies), Twilight Series - All Media Types",Aro/Bella Swan,"Bella Swan, Aro (Twilight), Edward Cullen, Alice Cullen, Jane (Twilight), Alec (Twilight), Marcus (Twilight), Caius (Twilight), Jacob Black, Victoria (Twilight), Riley Biers, Jasper Hale, Esme Cullen, Carlisle Cullen, Charlie Swan, Rosalie Hale, Emmett Cullen, Demetri (Twilight), Felix (Twilight), Heidi (Twilight), Bree Tanner","Alternate Universe, New Moon alternate, Romance, Soulmates, a more mature bella swan, Bella Swan with a Backbone, not a super edward friendly fic, but there's no bashing, events of eclipse loosely followed, absolutely no breaking dawn, a sort of slow burn, normal amounts of vampire gore",English,2020-07-07,Updated,2020-10-26,183950,32/?,385,477,105,11513
26336074,love me at my worst,Mature,F/M,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types",Jasper Hale/Bella Swan,"Jasper Hale, Bella Swan, Carlisle Cullen, Esme Cullen, Edward Cullen","Post-New Moon, Past Edward Cullen/Bella Swan, BAMF Bella Swan, i lost a competition and this is my punishment, Past Alice Cullen/ Jasper Hale, there shouldn't be angst in this, the friend i'm writing this for doesn't like angst. we'll see.",English,2020-09-07,Updated,2020-10-26,5897,2/?,15,53,13,531
27200665,The AsterAsh Project,Mature,Gen,Twilight Series - Stephenie Meyer,,"Claire Young (Twilight), Leah Clearwater, Seth Clearwater, Jacob Black, Renesmee Cullen, Sam Uley","Blood and Violence, Domestic Violence, Character Death, Action/Adventure, Americana, Native American Character(s), Native American/First Nations History, Angst, Psychological Trauma, Aged-Up Character(s), Trans Male Character, Politics, Police Brutality, Survival Horror, Explicit Language",English,2020-10-26,Updated,2020-10-26,5411,1/?,1,3,null,16
24963856,In the Afterlight,Mature,F/M,"Twilight, Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)",Edward Cullen/Bella Swan,"Edward Cullen, Bella Swan, Charlie Swan, Jacob Black, Alice Cullen, Rosalie Hale, Emmett Cullen, Billy Black, Carlisle Cullen, Esme Cullen","Twilight Renaissance, Alternate Universe - Canon Divergence, Canon Rewrite, Canon Backstory, Sexual Tension, Bella Swan with a Backbone, BAMF Bella Swan, Romance, Slow Burn, Older Man/Younger Woman, Soulmates",English,2020-06-28,Updated,2020-10-26,99507,22/25,194,247,68,5907
25537831,Eventide,General Audiences,F/M,Twilight Series - Stephenie Meyer,Edward Cullen/Bella Swan,"Bella Swan, Edward Cullen, Alice Cullen, Jasper Hale, Rosalie Hale, Emmett Cullen, Carlisle Cullen, Esme Cullen, Jacob Black, Angela Weber, Jessica Stanley",Twilight Series Rewrite,English,2020-07-26,Updated,2020-10-26,97949,28/40,21,35,10,1121
27231568,Fighter: A Twilight Saga Fanfiction,Mature,Multi,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types","Edward Cullen/Original Female Character(s), Emmett Cullen/Rosalie Hale, Carlisle Cullen/Esme Cullen, Alice Cullen/Jasper Hale","Edward Cullen, Emmett Cullen, Rosalie Hale, Carlisle Cullen, Esme Cullen, Alice Cullen, Jasper Hale, Bella Swan, Original Female Character(s)","Human/Vampire Relationship, Implied/Referenced Abuse, Canon-Typical Violence, Alternate Universe - Canon Divergence, No Renesmee Cullen, Strong Female Main Character",English,2020-10-26,Updated,2020-10-26,907,6/?,null,1,null,2
24437974,"Bathtubs, Bickering and Brandy!",Mature,M/M,"Twilight Series - All Media Types, Twilight Series - Stephenie Meyer",Aro/Garrett (Twilight),"Garrett (Twilight), Aro (Twilight), Carlisle Cullen","merman au, Merman Garrett, Injured Character, Hurt/Comfort, Bickering, Trans Aro, Trans Male Character, Shameless Smut",English,2020-05-29,Updated,2020-10-26,30237,11/?,39,20,4,275
26198413,Ruby Eyes,Mature,F/M,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)","Paul Lahote/Original Female Character(s), Paul Lahote/Original Character(s), Paul Lahote/You, Original Male Character(s)/You","Paul Lahote, Original Characters, Edward Cullen, Bella Swan, Carlisle Cullen, Esme Cullen, Alice Cullen, Jasper Hale, Rosalie Hale, Emmett Cullen, Reader, Renesmee Cullen, Charlie Swan, Jacob Black, Billy Black, Sam Uley, Emily Young (Twilight), Jared Cameron, Kim Connweller, Quil Ateara V, Embry Call, Seth Clearwater, Leah Clearwater, Brady Fuller, Collin Littlesea, Sue Clearwater, Claire Young (Twilight)","Reader-Insert, Canon Compliant, Slow Build, Slow Burn, Eventual Romance, Eventual Smut, Manipulation, Emotional/Psychological Abuse, Forced Marriage, Arranged Marriage, Violence, Implied/Referenced Self-Harm, maternal death",English,2020-08-30,Updated,2020-10-26,34234,16/?,16,35,8,712
25855381,The Myth,Not Rated,"F/F, F/M","Twilight Series - Stephenie Meyer, Twilight (Movies), Twilight Series - All Media Types","Emmett Cullen/Rosalie Hale, Alice Cullen/Jasper Hale, Edward Cullen/Bella Swan, Carlisle Cullen/Esme Cullen, OC/OC, Original Female Character/Original Female Character, Jacob Black/Bella Swan","Edward Cullen, Jasper Hale, Emmett Cullen, Carlisle Cullen, Esme Cullen, Rosalie Hale, Alice Cullen, OC (female), Charlie Swan, Jacob Black, Sam Uley, Leah Clearwater, Seth Clearwater, Billy Black, La Push Pack, Victoria (Twilight), James (Twilight), Laurent (Twilight), Aro (Twilight), Caius (Twilight), Marcus (Twilight), The Volturi (Twilight), Jessica Stanley, Angela Weber, Mike Newton, Eric Yorkie, Denali Coven (Twilight), Original Cullen Character(s), Cullens, Other additional characters",,English,2020-08-12,Updated,2020-10-25,5992,3/?,null,8,2,108
27202717,Trick Or Treat,General Audiences,F/M,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)",Alice Cullen/Jasper Hale,"Alice Cullen, Jasper Hale, Cynthia Brandon",Just some sweet Halloween fluff,English,2020-10-26,Completed,2020-10-26,3597,1/1,1,5,null,18
27202126,twilight nsfw headcanons,Mature,F/M,Twilight Series - All Media Types,"Edward Cullen/Reader, Carlisle Cullen/Reader, Emmett Cullen/Reader, Derek Hale/Reader","Edward Cullen, Emmett Cullen, Carlisle Cullen, Rosalie Cullen","Headcanon, NSFW headcanons, more horny rambling than anything",English,2020-10-26,Updated,2020-10-25,576,1/?,null,1,1,52
27199330,Doves,Teen And Up Audiences,F/M,"Twilight Series - Stephenie Meyer, Twilight Series - All Media Types, Twilight (Movies)",Jared Cameron/Kim Connweller,"Jared Cameron, Kim Connweller, Sam Uley, Emily Young (Twilight), Paul Lahote",,English,2020-10-25,Completed,2020-10-25,7283,1/1,null,null,null,17
27172777,Daybreak,Mature,"F/M, M/M",Twilight Series - Stephenie Meyer,Jacob Black/Edward Cullen/Bella Swan,,"OT3, can i get a woo hoo for charlie swan, Edward's POV, Pre-OT3, Not Canon Compliant, WILL ADD MORE TAGS AS I UPDATE, M for language",English,2020-10-24,Updated,2020-10-26,3532,4/?,3,2,null,30
